Label,Channel,Frequency_Band,Fisher_Ratio
1,CP4,26-28Hz,0.15573189927831532
1,CP4,24-26Hz,0.08115065536936263
1,CP4,4-6Hz,0.05356188627401416
1,Cz,4-6Hz,0.0517072077978203
1,CPz,4-6Hz,0.04726448161865724
1,CPz,30-32Hz,0.04038452887490362
1,CPz,32-34Hz,0.039587484524173926
1,CP3,24-26Hz,0.03220406937081008
1,FCz,24-26Hz,0.03033750482584043
1,CP4,14-16Hz,0.0295783554027335
1,CP3,4-6Hz,0.02667901553891405
1,FC3,14-16Hz,0.021702441262836443
1,C3,34-36Hz,0.020922643191663187
1,CP3,34-36Hz,0.019740909830065302
1,CP4,6-8Hz,0.01951858249515261
1,CP4,34-36Hz,0.01944388239037963
1,Cz,22-24Hz,0.01872183560434491
1,Cz,24-26Hz,0.017870099348331704
1,FC3,30-32Hz,0.016202837132260662
1,CP3,26-28Hz,0.015942563371183247
1,FCz,6-8Hz,0.015932588928750397
1,CP3,14-16Hz,0.014816329265282355
1,Cz,26-28Hz,0.013816749157119173
1,CP3,32-34Hz,0.012623508456882617
1,CP4,16-18Hz,0.01154336613881176
1,C4,32-34Hz,0.011542884527597816
1,C4,30-32Hz,0.01024214702343272
1,C4,20-22Hz,0.010077737911600416
1,C4,6-8Hz,0.010057800603574179
1,C3,30-32Hz,0.009874299765005957
1,FCz,22-24Hz,0.009592773961645122
1,FC3,34-36Hz,0.00956562668159902
1,C4,24-26Hz,0.00880727849013744
1,FC3,4-6Hz,0.008643538123744356
1,FC3,32-34Hz,0.008617846282934858
1,CP3,18-20Hz,0.008536614576432648
1,C3,28-30Hz,0.008521508356214066
1,FC3,20-22Hz,0.008509986148926228
1,CPz,16-18Hz,0.008443479739932787
1,Cz,14-16Hz,0.007981477549520107
1,CPz,34-36Hz,0.007773943344455525
1,C3,6-8Hz,0.007600682520951909
1,FCz,4-6Hz,0.007581341555345997
1,C4,14-16Hz,0.007171420999576941
1,FC4,18-20Hz,0.007058983273251859
1,C3,4-6Hz,0.00663259017037849
1,C3,10-12Hz,0.006378227448697616
1,C3,12-14Hz,0.006215297133083789
1,CPz,24-26Hz,0.006148118675561745
1,FC4,12-14Hz,0.006115460379208823
1,FC3,18-20Hz,0.005716048396427293
1,CP3,20-22Hz,0.005273492690857833
1,FCz,28-30Hz,0.0051514353576411305
1,FC4,6-8Hz,0.005105579505451063
1,C3,20-22Hz,0.004827181815590848
1,C3,22-24Hz,0.004226476701141421
1,C4,12-14Hz,0.004216119776970936
1,CPz,12-14Hz,0.004006580490654612
1,CP4,22-24Hz,0.0039366203389789595
1,CP4,20-22Hz,0.0038451674090972214
1,FC3,8-10Hz,0.0034480627211375737
1,FCz,18-20Hz,0.003416466950748544
1,C3,32-34Hz,0.003372218006754436
1,CPz,22-24Hz,0.0033638045172408944
1,C3,26-28Hz,0.0032871504463379973
1,CP3,22-24Hz,0.0031871698827968405
1,Cz,34-36Hz,0.0031101684714475233
1,FC3,6-8Hz,0.0029551952419716674
1,CP4,30-32Hz,0.0029133724132815167
1,CPz,20-22Hz,0.002825542440556219
1,C3,18-20Hz,0.002752106804735207
1,Cz,30-32Hz,0.0027137370573110846
1,C4,34-36Hz,0.002703258347219394
1,CPz,26-28Hz,0.0026241870456298493
1,FCz,14-16Hz,0.0025800457749610107
1,CP3,16-18Hz,0.0025026107025383254
1,CP3,6-8Hz,0.0024973140290837754
1,FCz,20-22Hz,0.0024613013102484276
1,FCz,16-18Hz,0.002411264701473046
1,FC3,16-18Hz,0.0023169222072896055
1,FCz,10-12Hz,0.002311293138351072
1,FC3,22-24Hz,0.00220300507268358
1,C3,16-18Hz,0.0021838094016596436
1,FC4,4-6Hz,0.0021807572089931285
1,CP3,12-14Hz,0.0020785167078883537
1,CP4,28-30Hz,0.0017968883038455164
1,CP3,28-30Hz,0.0017243549156903079
1,FCz,32-34Hz,0.0016934204667391408
1,FC3,10-12Hz,0.0016819615792797856
1,FC4,14-16Hz,0.0016683990175199882
1,Cz,32-34Hz,0.001597786418432899
1,CP4,18-20Hz,0.0015300928818938477
1,FC4,26-28Hz,0.0015274661821473613
1,FCz,34-36Hz,0.001508780444027372
1,FC4,30-32Hz,0.0013944695625431353
1,C4,22-24Hz,0.0013902004489473518
1,C3,24-26Hz,0.0012778477765432992
1,CPz,10-12Hz,0.0012677064431036531
1,CPz,8-10Hz,0.0010933815357476223
1,FC4,32-34Hz,0.001080495857022668
1,Cz,16-18Hz,0.0010784054788836033
1,C4,10-12Hz,0.0010455854643029257
1,FC4,24-26Hz,0.0010326945383990485
1,FCz,26-28Hz,0.0009975751686694622
1,FCz,30-32Hz,0.0009962846982665013
1,FC4,20-22Hz,0.0009959964207792878
1,CP3,30-32Hz,0.0009724870214983319
1,CP4,32-34Hz,0.0009220600095539524
1,FC3,24-26Hz,0.0009150174227713824
1,C3,14-16Hz,0.0009143122397523271
1,C4,16-18Hz,0.0007711595557049457
1,FCz,12-14Hz,0.0007467352332642398
1,FC4,16-18Hz,0.000682564119044733
1,FC4,8-10Hz,0.0006624761408007075
1,C4,4-6Hz,0.0006468088317497926
1,Cz,28-30Hz,0.0006279133680046167
1,Cz,12-14Hz,0.0006137730622107902
1,Cz,8-10Hz,0.0005943862932105623
1,FC3,28-30Hz,0.0005826579028692918
1,CP3,10-12Hz,0.0004898149675887944
1,FCz,8-10Hz,0.0004219650310256733
1,Cz,10-12Hz,0.0003613975004542495
1,C4,26-28Hz,0.0003065784149927742
1,CP4,8-10Hz,0.00028839819833638365
1,FC3,12-14Hz,0.0002864224355175523
1,CP4,10-12Hz,0.00027436963244976834
1,FC4,22-24Hz,0.00023942734548776831
1,FC4,34-36Hz,0.00022524336823850682
1,Cz,20-22Hz,0.0001852155012257999
1,CPz,14-16Hz,0.0001771889303677047
1,Cz,18-20Hz,0.00013002495232928316
1,Cz,6-8Hz,0.00012509787872283528
1,C4,28-30Hz,9.572653867402121e-05
1,C4,8-10Hz,7.93795757951558e-05
1,CPz,6-8Hz,6.750770923962705e-05
1,CPz,28-30Hz,3.954159733327828e-05
1,C3,8-10Hz,3.753307708008831e-05
1,CPz,18-20Hz,3.666134990192767e-05
1,FC4,28-30Hz,2.4837785165136263e-05
1,C4,18-20Hz,1.3184370859978878e-05
1,FC3,26-28Hz,1.0337863415747865e-05
1,CP3,8-10Hz,7.368935807745215e-06
1,CP4,12-14Hz,2.201418431841942e-06
1,FC4,10-12Hz,2.0606352455402754e-06
2,CPz,4-6Hz,0.13255022001648065
2,CP4,4-6Hz,0.10222077779991931
2,CPz,26-28Hz,0.07653462746314121
2,FC4,4-6Hz,0.06241551100354884
2,CP4,24-26Hz,0.06046000946026134
2,CP4,26-28Hz,0.051911277492326095
2,CP3,26-28Hz,0.05006287179805766
2,FCz,28-30Hz,0.04604961481750458
2,FCz,26-28Hz,0.045103031560031044
2,CP3,4-6Hz,0.04262251301566073
2,CP3,24-26Hz,0.040906308769235504
2,FC4,6-8Hz,0.0340912852745474
2,FCz,20-22Hz,0.027988197859255815
2,FCz,22-24Hz,0.027797908784387634
2,CP3,28-30Hz,0.02703925208507752
2,C4,14-16Hz,0.02691182544074894
2,FCz,24-26Hz,0.02547413982488489
2,CP4,14-16Hz,0.024654245809678024
2,CP4,6-8Hz,0.02458244145519687
2,CPz,16-18Hz,0.02423548958427475
2,Cz,20-22Hz,0.023633086279299168
2,FC3,16-18Hz,0.022652138582167577
2,C3,28-30Hz,0.02205191018181665
2,CPz,30-32Hz,0.021299697768587363
2,Cz,24-26Hz,0.020960567121434726
2,FCz,4-6Hz,0.018629198358304313
2,CP4,28-30Hz,0.018466670724475817
2,FC3,26-28Hz,0.018434501262854737
2,Cz,14-16Hz,0.01800149470021494
2,Cz,26-28Hz,0.016744789731349463
2,CPz,20-22Hz,0.016724378796322895
2,C3,22-24Hz,0.01612236757849109
2,Cz,34-36Hz,0.014631554426381642
2,FC3,28-30Hz,0.014234538024707779
2,CPz,14-16Hz,0.013925331855874697
2,CPz,24-26Hz,0.013357836020509686
2,FC4,14-16Hz,0.013318996953369616
2,Cz,22-24Hz,0.01261563461076123
2,CP4,30-32Hz,0.012350059659475084
2,FC3,24-26Hz,0.011869393049320984
2,CP3,6-8Hz,0.011115621512997578
2,C3,24-26Hz,0.010559412264885354
2,Cz,6-8Hz,0.010501787420469243
2,CP3,14-16Hz,0.01038937885325925
2,FC4,8-10Hz,0.01023938713044011
2,C3,26-28Hz,0.009805771774369207
2,CPz,12-14Hz,0.00976555337501047
2,CP3,16-18Hz,0.009180648177088788
2,FC3,20-22Hz,0.008173873395026612
2,CPz,34-36Hz,0.007901492061589476
2,C4,24-26Hz,0.007887057638007865
2,FC4,26-28Hz,0.007837642196489704
2,FCz,30-32Hz,0.00759858570259857
2,FC4,24-26Hz,0.007236938608728725
2,FCz,16-18Hz,0.0071991911904592835
2,FC3,18-20Hz,0.007177159124890195
2,CPz,6-8Hz,0.007070145261768854
2,FCz,14-16Hz,0.006760847039706129
2,Cz,4-6Hz,0.006523951411984742
2,C4,30-32Hz,0.006417901937292738
2,C4,28-30Hz,0.0063852318381979875
2,FC3,10-12Hz,0.0062096271137101295
2,C3,30-32Hz,0.005815855652092767
2,FCz,8-10Hz,0.0055458174416694195
2,CP3,34-36Hz,0.005419611409064054
2,FC3,34-36Hz,0.005359363666852895
2,C4,16-18Hz,0.0053220304148174045
2,C3,20-22Hz,0.005126606854522812
2,FC3,22-24Hz,0.005105628937819871
2,C4,26-28Hz,0.005064673231299232
2,FC4,12-14Hz,0.004931966818485342
2,CPz,32-34Hz,0.004884726507324246
2,FC4,22-24Hz,0.004749307552011419
2,FCz,18-20Hz,0.004572805081267583
2,C4,32-34Hz,0.00455316907365909
2,CP3,20-22Hz,0.004510517991629975
2,FC4,34-36Hz,0.004242245430536836
2,FCz,12-14Hz,0.004226420974962686
2,FCz,10-12Hz,0.0040581774594354155
2,FCz,34-36Hz,0.003948502462683216
2,C3,6-8Hz,0.0037532546007272736
2,CP3,18-20Hz,0.003552886851257896
2,CP3,32-34Hz,0.0034983700183388302
2,FC4,28-30Hz,0.003336048443809088
2,CP4,22-24Hz,0.00329933916390578
2,FC3,8-10Hz,0.003130617917482848
2,CPz,18-20Hz,0.0030382681094863447
2,CP4,32-34Hz,0.0029615589672803582
2,C3,16-18Hz,0.0027950284411518036
2,C3,18-20Hz,0.0026460841114978664
2,CPz,8-10Hz,0.002573304996456626
2,FCz,32-34Hz,0.0024977238670412755
2,C3,34-36Hz,0.0024552766574578487
2,Cz,16-18Hz,0.0023697264685856186
2,Cz,30-32Hz,0.002337862257148827
2,C3,4-6Hz,0.002302887079079009
2,FC4,16-18Hz,0.002269965708124321
2,CP4,16-18Hz,0.0022579881392195797
2,CP4,12-14Hz,0.0022194484459982047
2,C4,34-36Hz,0.0021899107192003813
2,CPz,22-24Hz,0.0018458668289050254
2,FC4,20-22Hz,0.001696316684355892
2,FC3,4-6Hz,0.001555483000358259
2,C3,14-16Hz,0.0015527207227299463
2,C4,22-24Hz,0.0014641792105827642
2,C4,12-14Hz,0.0014364287884873676
2,FC4,30-32Hz,0.001355104390657549
2,FC4,32-34Hz,0.0013021572733939826
2,Cz,8-10Hz,0.0010890710528430507
2,Cz,18-20Hz,0.0009961419726074365
2,Cz,32-34Hz,0.0009588668029982687
2,CP4,8-10Hz,0.000921363617985094
2,C4,10-12Hz,0.0008595703705485655
2,FC4,10-12Hz,0.0008322672699922494
2,Cz,12-14Hz,0.00071356340754695
2,FC4,18-20Hz,0.0006680270947241045
2,CPz,10-12Hz,0.0006393512159043335
2,CP3,12-14Hz,0.0004764134738531817
2,C3,32-34Hz,0.0004361648916071297
2,C4,20-22Hz,0.0004142024900324345
2,CPz,28-30Hz,0.00027982370135646434
2,CP4,20-22Hz,0.00027094775534382433
2,FC3,32-34Hz,0.00026868632208223173
2,C4,6-8Hz,0.0002564505499864792
2,CP3,30-32Hz,0.0002461777890046275
2,CP4,34-36Hz,0.00020215131070747168
2,C4,18-20Hz,0.00019112877185872306
2,C4,4-6Hz,0.00017646473425987063
2,FC3,14-16Hz,0.00016916187050751322
2,C3,10-12Hz,0.00015682062911207781
2,CP3,22-24Hz,0.0001565991513915352
2,FC3,30-32Hz,0.0001343765547219966
2,Cz,28-30Hz,8.549146054145327e-05
2,CP4,18-20Hz,7.709877981460965e-05
2,C4,8-10Hz,2.487778844621456e-05
2,C3,12-14Hz,1.3554843490489734e-05
2,CP3,10-12Hz,1.2387790743310904e-05
2,FC3,6-8Hz,7.628753890163246e-06
2,CP4,10-12Hz,7.177419620706988e-06
2,FCz,6-8Hz,6.368038027260072e-06
2,Cz,10-12Hz,5.48671463040596e-06
2,FC3,12-14Hz,4.305164866356897e-06
2,CP3,8-10Hz,3.4227470905282608e-06
2,C3,8-10Hz,3.153421245342721e-08
